Symbol,Twitter Sentiment Rating,Emotion Rating,Bullishness,Start
GOOG,0.0637611367799,,,05/09/17
WMT,0.0707673881674,,,05/02/17
AMZN,0.207116784836,,,10/22/16
MSFT,0.0430720147908,,,10/25/17
AAL,0.00480806878307,,,05/19/17
CMG,0.00506574675325,,,12/10/15
KO,0.018771969697,,,10/09/14
FDX,0.0594183892496,,,01/24/17
F,0.00901944444444,,,05/22/17
UAL,-0.0642796302193,,,04/12/17
AMZN,0.138482277861,,,12/15/16
MSFT,0.0487494288119,,,02/05/14
MSFT,0.0746717532468,-0.0825358851675,,09/30/15
MCD,0.0342605068543,-0.0423728813559,,10/26/14
LNKD,0.0353933261183,0.2875,,09/18/16
FSLR,0.195990625,-0.737704918033,,10/10/16
GM,0.0663213654401,0.431818181818,,12/08/14
PEP,0.0289557780183,-0.702380952381,,07/01/14
